City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,65.23,58,100,15.41,AU,1699415165
1,albany,42.6001,-73.9662,45.68,74,100,1.99,US,1699415165
2,edinburgh of the seven seas,-37.0676,-12.3116,57.4,84,87,26.71,SH,1699415166
3,namibe,-15.1961,12.1522,64.87,81,5,2.57,AO,1699415166
4,toliara,-23.35,43.6667,79.88,58,5,4.43,MG,1699415166
5,port alfred,-33.5906,26.891,56.17,90,89,8.28,ZA,1699415166
6,west island,-12.1568,96.8225,82.38,78,75,12.66,CC,1699415166
7,margaret river,-33.95,115.0667,67.41,51,56,8.46,AU,1699415167
8,bredasdorp,-34.5322,20.0403,53.19,72,7,2.64,ZA,1699415167
9,ugoofaaru,5.6667,73.0,81.61,75,95,3.15,MV,1699415167
10,grytviken,-54.2811,-36.5092,38.07,70,3,7.09,GS,1699415167
11,port lincoln,-34.7333,135.8667,66.99,59,97,14.52,AU,1699415168
12,sonoita,31.85,-112.8333,68.14,42,0,2.06,MX,1699415168
13,adamstown,-25.066,-130.1015,72.82,88,100,18.39,PN,1699415169
14,port-aux-francais,-49.35,70.2167,40.23,86,74,29.68,TF,1699415169
15,wailua homesteads,22.0669,-159.378,82.83,81,40,14.97,US,1699415169
16,puerto ayora,-0.7393,-90.3518,76.55,84,29,5.99,EC,1699415169
17,prineville,44.2999,-120.8345,40.12,78,17,4.79,US,1699415169
18,nizhniy kuranakh,58.8353,125.4869,-1.55,91,74,1.95,RU,1699415170
19,keflavik,64.0049,-22.5624,43.23,56,0,18.41,IS,1699415170
20,bethel,41.3712,-73.414,53.76,58,16,11.39,US,1699415170
21,iqaluit,63.7506,-68.5145,15.53,79,100,8.05,CA,1699415170
22,puerto natales,-51.7236,-72.4875,34.45,90,11,3.4,CL,1699415171
23,olonkinbyen,70.9221,-8.7187,34.5,75,100,3.8,SJ,1699415171
24,waitangi,-43.9535,-176.5597,54.82,96,100,10.0,NZ,1699415171
25,ushuaia,-54.8,-68.3,37.06,70,40,11.5,AR,1699415069
26,nova sintra,14.8667,-24.7167,74.01,71,66,15.43,CV,1699415171
27,devils lake,48.1128,-98.8651,37.38,94,100,10.36,US,1699415172
28,ilulissat,69.2167,-51.1,33.82,47,75,16.11,GL,1699415172
29,newman,37.3138,-121.0208,59.23,68,1,4.0,US,1699415172
30,mata-utu,-13.2816,-176.1745,82.51,83,100,16.26,WF,1699415172
31,thompson,55.7435,-97.8558,28.56,74,100,4.61,CA,1699415173
